lat,lon,trainno,service,dest,currentstop,nextstop,line,consist,heading,late,SOURCE,TRACK,TRACK_CHANGE,filename,date,time,date_time,train_heading,poi_dist,train_id,train_speed
39.95404739,-75.16766761,8385,LOCAL,Wawa,Suburban Station,Gray 30th Street,Media/Wawa,145146,283.25194239818,0,Temple U,6,,index_2024-08-18_14-51-00.csv,2024-08-18,14:51:00,2024-08-18 14:51:00,W,9.09542972518514,2024-08-18_8385,20.7468567078056
39.902843333333,-75.348918,2355,LOCAL,Wawa,Morton,Swarthmore,Media/Wawa,2.87277394395114E+017,251.94046047034,0,Conshohocken,1,,index_2024-08-29_19-45-00.csv,2024-08-29,19:45:00,2024-08-29 19:45:00,W,1.14044116064778,2024-08-29_2355,54.0524680855851
39.946316666667,-75.2293355,3232,LOCAL,Norristown,Angora,49th Street,Media/Wawa,821822845846736,93.861820936267,2,Wawa,2,,index_2024-08-29_19-45-00.csv,2024-08-29,19:45:00,2024-08-29 19:45:00,E,5.8845796190209,2024-08-29_3232,29.3921552804304
39.9538889,-75.1677778,8337,LOCAL,Wawa,Elwyn Station,Wawa,Media/Wawa,,,37,Fox Chase,1,,index_2024-09-05_02-20-30.csv,2024-09-05,02:20:30,2024-09-05 02:20:30,,9.08613083168916,2024-09-05_8337,0.000575371566930517
39.927084666667,-75.289839166667,2321,LOCAL,Wawa,Clifton-Aldan,Primos,Media/Wawa,131132285385384,224.78167770884,1,Norristown,1,,index_2024-08-12_16-22-30.csv,2024-08-12,16:22:30,2024-08-12 16:22:30,W,2.43884052528366,2024-08-12_2321,20.3562687988556
39.9390625,-75.259958166667,306,EXP TO JENKINTOWN,West Trenton,Lansdowne,Fernwood-Yeadon,Media/Wawa,3.00338339298358E+017,78.309170903284,0,Media,2,,index_2024-08-12_16-22-30.csv,2024-08-12,16:22:30,2024-08-12 16:22:30,E,4.22056120734391,2024-08-12_306,21.0602056238819
39.906411,-75.388735166667,3226,LOCAL,Norristown,Media,Moylan-Rose Valley,Media/Wawa,363362282437438,141.33188163754,4,Wawa,2,,index_2024-08-12_16-22-30.csv,2024-08-12,16:22:30,2024-08-12 16:22:30,E,3.19915345560303,2024-08-12_3226,23.8793341729982
39.955108205,-75.17402146,9345,EXP TO PRIMOS,Wawa,Suburban Station,Gray 30th Street,Media/Wawa,"908,2551,2554,2504,2501,2404",279.1494695633,0,Temple U,6,,index_2024-08-12_16-22-30.csv,2024-08-12,16:22:30,2024-08-12 16:22:30,W,8.80788728462462,2024-08-12_9345,25.4069494091608
39.9060155,-75.414009666667,2303,LOCAL,Wawa,Elwyn Station,Wawa,Media/Wawa,731830829710,233.9772816857,2,Norristown,1,,index_2024-08-08_07-46-00.csv,2024-08-08,07:46:00,2024-08-08 07:46:00,W,4.53897304891216,2024-08-08_2303,22.0301993181235
39.95404739,-75.16766761,303,LOCAL,Media,Suburban Station,Gray 30th Street,Media/Wawa,3.00338339298358E+017,280.4173507224,5,West Trenton,6,,index_2024-08-08_07-46-00.csv,2024-08-08,07:46:00,2024-08-08 07:46:00,W,9.09542972518514,2024-08-08_303,14.2403664172702
40.026968833333,-75.152874666667,6307,LOCAL,30th Street Gray,Bethayres,Temple University,Media/Wawa,808807816815707,235.52710139167,2,West Trenton,3,,index_2024-08-08_07-46-00.csv,2024-08-08,07:46:00,2024-08-08 07:46:00,W,12.4165010011713,2024-08-08_6307,19.8045992849051
39.902763833333,-75.357631833333,9368,LOCAL,Temple U,Wallingford,Swarthmore,Media/Wawa,"2404,2501,2504,2554,2551,908",103.03924856938,0,Wawa,2,,index_2024-08-08_07-46-00.csv,2024-08-08,07:46:00,2024-08-08 07:46:00,E,1.58811771822207,2024-08-08_9368,16.7522863825896
39.95960815,-75.152796415,8393,LOCAL,Wawa,Temple University,Jefferson Station,Media/Wawa,348349426425,188.84114153936,3,Fox Chase,3,,index_2024-09-01_22-46-30.csv,2024-09-01,22:46:30,2024-09-01 22:46:30,W,9.96808105263912,2024-09-01_8393,20.3059644407273
39.90763,-75.411548666667,2303,LOCAL,Wawa,Media,Elwyn Station,Media/Wawa,714713828827735,229.26224303083,0,Norristown,1,,index_2024-08-09_07-38-30.csv,2024-08-09,07:38:30,2024-08-09 07:38:30,W,4.40679023801157,2024-08-09_2303,27.5053945585897
39.962825333333,-75.1521835,303,LOCAL,Media,Temple University,Jefferson Station,Media/Wawa,3.00338339298358E+017,186.45357297348,7,West Trenton,3,,index_2024-08-09_07-38-30.csv,2024-08-09,07:38:30,2024-08-09 07:38:30,W,10.0798817338671,2024-08-09_303,15.4617423881936
39.9326075,-75.282358166667,3702,LOCAL,Chestnut H East,Gladstone,Lansdowne,Media/Wawa,105106317316,44.326375794987,1,Media,2,,index_2024-08-09_07-38-30.csv,2024-08-09,07:38:30,2024-08-09 07:38:30,E,2.98100675686758,2024-08-09_3702,31.354901224624
40.0556405,-75.131545666667,6307,LOCAL,30th Street Gray,Bethayres,Temple University,Media/Wawa,808807816815707,205.66753174123,0,West Trenton,3,,index_2024-08-09_07-38-30.csv,2024-08-09,07:38:30,2024-08-09 07:38:30,W,14.5924055546544,2024-08-09_6307,16.6052635824068
39.913822833333,-75.393905833333,9368,LOCAL,Temple U,Media,Moylan-Rose Valley,Media/Wawa,"2408,2515,2525,2503,2510,903",131.28996932498,0,Wawa,2,,index_2024-08-09_07-38-30.csv,2024-08-09,07:38:30,2024-08-09 07:38:30,E,3.49621348652957,2024-08-09_9368,0
39.927106666667,-75.289813333333,2319,LOCAL,Wawa,Clifton-Aldan,Primos,Media/Wawa,735713867868714,226.12128506704,1,Norristown,1,,index_2024-08-30_15-21-30.csv,2024-08-30,15:21:30,2024-08-30 15:21:30,W,2.44081702793264,2024-08-30_2319,21.2726055777769
39.915019333333,-75.396986833333,306,EXP TO JENKINTOWN,West Trenton,Media,Moylan-Rose Valley,Media/Wawa,734881882813814,104.78291459042,0,Media,2,,index_2024-08-30_15-21-30.csv,2024-08-30,15:21:30,2024-08-30 15:21:30,E,3.66865872276614,2024-08-30_306,6.46857913160653
39.903764833333,-75.371578,3224,LOCAL,Norristown,Moylan-Rose Valley,Wallingford,Media/Wawa,821822845846736,94.099611066666,0,Wawa,2,,index_2024-08-30_15-21-30.csv,2024-08-30,15:21:30,2024-08-30 15:21:30,E,2.30546338592764,2024-08-30_3224,21.7403364272762
39.963693833333,-75.1520325,381,LOCAL,Media,Temple University,Jefferson Station,Media/Wawa,2.92360361424423E+017,186.39520985236,0,West Trenton,3,,index_2024-08-30_15-21-30.csv,2024-08-30,15:21:30,2024-08-30 15:21:30,W,10.1099982470173,2024-08-30_381,15.6655946967599
39.95384008,-75.16510235,2313,LOCAL,Wawa,Jefferson Station,Suburban Station,Media/Wawa,455456159160,188.93543316001,0,Norristown,4,,index_2024-08-15_11-58-00.csv,2024-08-15,11:58:00,2024-08-15 11:58:00,W,9.21787323406648,2024-08-15_2313,18.0812477735826
39.915412166667,-75.398808833333,306,EXP TO JENKINTOWN,West Trenton,Media,Moylan-Rose Valley,Media/Wawa,3.00338339298358E+017,278.8066212711,0,Media,2,,index_2024-08-15_11-58-00.csv,2024-08-15,11:58:00,2024-08-15 11:58:00,W,3.76802351772684,2024-08-15_306,1.23392978293673
39.959606265,-75.152854535,2331,LOCAL,Wawa,Temple University,Jefferson Station,Media/Wawa,1.29130292291136E+017,189.1659349403,1,Norristown,4,,index_2024-08-07_20-53-00.csv,2024-08-07,20:53:00,2024-08-07 20:53:00,W,9.96516047045157,2024-08-07_2331,19.1892764606852
39.948054166667,-75.190129666667,305,LOCAL,Wawa,Penn Medicine Station,49th Street,Media/Wawa,723716725812811,221.83866080842,12,West Trenton,1,,index_2024-08-30_09-19-30.csv,2024-08-30,09:19:30,2024-08-30 09:19:30,W,7.83606610827516,2024-08-30_305,27.7167768111308
